text,size
years,3291
obama,2305
gave,1245
rebuild,1165
give,1165
destroy,365
bush,365
america,126
vote,79
#obama,65
#election,65
#romneyryan,62
today,47
#romney,42
voting,37
happy,37
politics,33
election,31
pic,30
day,27
barackobama,25
hope,23
#tcot,23
#vote,23
twitter,22
win,22
exciting,21
war,21
slightly,21
iran,21
future,21
hear,21
declared,21
voted,18
romney,18
freedom,18
mittromney,18
#p,17
#str,17
#gop,17
people,16
instagr,15
ps,14
jobs,14
cash,14
trees,13
promoting,13
economy,13
rsvym,13
equality,13
sticker,13
isn,13
ref,13
white,13
talk,13
shade,13
house,13
fair,13
cbtx,13
iraq,13
elections,13
field,13
spot,13
sell,13
choice,13
cotton,13
nytimes,13
bpzb,13
wit,13
million,12
accents,12
like,12
interested,12
hands,11
free,11
voteeee,11
barack,11
forget,11
didn,11
#ctgirldeepthoughts,10
#realchange,10
#sikhvote,10
#voteobama,10
#sikh,10
il,10
#captainamerica,10
#ctgirlproblems,10
#obamaphone,10
#voteamerica,10
#teamfuckmittromney,10
#billymadison,10
#obamabiden,10
prepare,9
bad,9
ape,9
call,9
da,9
paths,9
palm,9
interactive,9
climb,9
depends,9
lose,9
jb,9
healthcare,9
dark,9
coconuts,9
usa,9
lo,9
friends,9
reason,6
reinstate,6
poops,6
rsxmhoa,6
friend,6
moving,6
bbc,6
sikhs,6
srexnv,6
community,6
booth,6
juuuuuuheard,6
peace,6
difference,6
offered,6
imru,6
kvf,6
unemployed,6
trillion,6
issuing,6
food,6
afraid,6
grab,6
gop,6
parti,6
bias,6
booted,6
wow,6
doesn,6
pas,6
voteee,6
canada,6
gorgeous,6
support,6
debt,6
rate,6
street,6
aussi,6
lies,6
live,6
