text,size
work,52
election,52
obama,52
voting,34
#obama,32
plan,27
paided,27
vote,24
teenagers,24
watch,24
debate,24
day,24
today,24
barackobama,24
#romneyryan,22
#election,21
happy,20
president,20
ofa,16
#loveofcountry,11
#notfair,11
million,11
followers,11
final,11
obamas,9
mittromney,9
people,9
romneys,9
line,9
make,9
voted,7
word,7
otsmqi,7
part,7
ready,7
bo,7
#nra,7
#spikelee,7
#yelp,7
#govote,7
#ohio,7
#msnbc,7
#followtrain,7
#nokidhungry,7
#ifobamawins,7
#firedup,7
#voteobama,7
#uselections,7
#romney,7
elect,5
romney,5
education,4
told,4
hope,4
congratulating,4
twitter,4
eqolmsoq,4
review,4
rally,4
automatisch,4
wins,4
fired,4
bible,4
issue,4
impact,4
opponents,4
nutter,4
stimmen,4
lange,4
touchscreen,4
mitt,4
booth,4
wycliffite,4
youtu,4
favorite,4
alive,4
ain,4
babies,4
eozq,4
pop,4
abstand,4
joebiden,4
term,4
bluffing,4
winners,4
means,4
born,4
black,4
stay,4
report,4
sichft,4
story,4
die,4
rxxi,4
evidence,4
polling,4
pic,4
pray,4
affiliation,4
inching,4
neu,4
proud,4
pleasant,4
friends,4
wird,4
campaign,4
folks,4
evil,4
option,4
submit,4
video,4
life,4
havingtroublevoting,4
interesting,4
center,4
und,4
kleiner,4
michael,4
hlt,4
gooo,4
machines,4
tweeting,4
idol,3
spotted,3
ausgez,3
mayor,3
bb,3
prove,3
oed,3
supports,3
ca,3
broken,3
retweet,3
americans,3
zwischen,3
isn,3
political,3
good,3
count,3
als,3
failed,3
candidate,3
public,3
trouble,3
lines,3
stake,3
