text,size,topic
hands,2,9
romney,7,9
republicans,2,9
bring,2,9
voted,6,9
instagram,2,9
pelo,2,9
years,4,9
america,18,9
twitter,2,9
srhxk,2,9
influi,2,9
record,4,9
suppression,2,9
agfbuk,2,9
baz,2,9
youuglyonskype,2,9
state,2,9
boin,2,9
hey,2,9
give,2,9
cares,2,9
remain,2,9
work,2,9
querendo,2,9
toilet,2,9
field,2,9
maglietta,2,9
gud,2,9
barackobama,24,9
remix,2,9
love,4,9
gicopelo,2,9
strong,2,9
obama,18,9
irony,2,9
remind,4,9
lot,2,9
rolling,2,9
barack,2,9
fall,2,9
rights,2,9
stand,2,9
rsonumglkr,2,9
predicting,2,9
abcn,2,9
cnn,2,9
abc,2,9
retweet,4,9
decision,4,9
redyys,2,9
weary,2,9
mittromney,1,9
black,2,9
maker,4,9
bvpc,2,9
erz,2,9
people,2,9
democracy,2,9
happened,2,9
lead,4,9
stay,4,9
estados,2,9
americans,4,9
fxbfw,2,9
watch,2,9
speech,2,9
ebt,2,9
interview,2,9
fijy,2,9
citizens,2,9
ass,2,9
luck,2,9
con,5,9
sbaracca,2,9
florida,2,9
offices,2,9
numbers,2,9
brasil,2,9
pic,2,9
tweets,2,9
ich,5,9
das,2,9
credit,2,9
results,4,9
uscire,2,9
defendpaulryan,2,9
sosa,2,9
vorbereitet,2,9
elei,2,9
instagr,2,9
ugly,2,9
domani,2,9
pro,2,9
important,2,9
vorrei,2,9
sobre,2,9
forget,2,9
dass,2,9
toughest,2,9
canada,2,9
dream,2,9
desk,2,9
vincesse,2,9
campaign,2,9
virginia,2,9
huff,2,9
squeezes,2,9
leaving,2,9
job,2,9
unidos,2,9
pbs,2,9
cards,2,9
turnout,2,9
line,9,9
back,2,9
lmfaooooooooo,2,9
mess,2,9
gewinne,2,9
watching,5,9
head,2,9
nos,2,9
ready,4,9
men,5,9
nigga,2,9
lived,2,9
scritto,2,9
vote,10,9
make,20,9
fxn,2,9
win,2,9
live,2,9
chuckwill,2,9
coverage,2,9
niggas,2,9
election,10,9
resultado,2,9
resting,2,9
torcendo,2,9
una,2,9
solo,2,9
tweet,2,9
minute,4,9
retpds,2,9
npr,2,9
cbs,2,9
huh,2,9
speakerboehner,2,9
president,19,9
lmfaooo,2,9
